"entity_type","internal_id","label"
"analysis","a_a0bb140b77f2","30-day mortality"
"analysis","a_fe6bb66a5f0f","Systolic blood pressure at 12 weeks"
"study","s_c247d089867a","Anderson 2018"
"study","s_bb56c89691f8","Budi 2019"
"study","s_f92d2b3ceb89","Chen 2020"
"study","s_3704964ffe92","Davis 2021"
"study","s_8dbfbaf55825","Evans 2022"
"study","s_71c510bfc17b","Fauzi 2022"
"study","s_005092dabd97","Garcia 2023"
"study","s_1e3fc467e8ed","Hassan 2024"
"study","s_ad22858c2cf9","Ibrahim 2024"
"study","s_e341b18c78c3","Kim 2025"
"study","s_232819e876a8","Lopez 2025"
"study","s_ab4d6c96024e","Morgan 2026"
"study","s_783d39626a0c","Ito 2017"
"study","s_fef7d677906a","Jones 2018"
"study","s_ae8f7c8b2ca8","Kumar 2019"
"study","s_01bb8e03becc","Lim 2020"
"study","s_96242697847b","Miller 2021"
"study","s_856887631d66","Nugroho 2022"
"study","s_ce9ebafb4f3c","Oliveira 2023"
"study","s_57a34d4a82af","Patel 2024"
"study","s_2e9e2d59d16e","Quinn 2024"
"study","s_d153053fd808","Rahman 2025"
"study","s_0182108bcebd","Silva 2025"
"study","s_47ab6cd47ef6","Tan 2026"
